Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
3/25/2011,45.58,49.33,49.03,47.34,54.75,-0.01,27.79,-18.82,21841513513,-0.07,1.07,105331649.6,18211564216,-28,48.23
3/28/2011,45.43,49.4,49.07,47.4,53.81,0.06,43.03,-20,21764250147,-0.06,1.03,-12145801.1,18134300850,-28,48.41
3/29/2011,45.5,49.47,49.12,47.45,54.21,0.11,21.36,-18.28,21852423422,-0.06,1.01,6551274.3,18222474125,-28,48.55
3/30/2011,45.17,49.5,49.14,47.5,52.05,0.12,19.66,-25.99,21770120308,-0.05,0.97,-27406937,18197093425,-28,48.67
3/31/2011,45.15,49.53,49.17,47.54,51.93,0.12,17.36,-26.39,21701628467,-0.05,0.94,-1198607.2,18218240794,-28,48.92
4/1/2011,44.59,49.5,49.17,47.58,48.16,0.07,7.77,-34.78,21597034598,-0.04,0.96,-59001402,18145443743,-28,49.08
4/4/2011,44.1,49.43,49.16,47.6,45.14,0.01,-42.15,-46.79,21481891931,-0.04,0.95,-55441193.8,18133941174,-28,49.11
4/5/2011,43.78,49.34,49.13,47.62,43.15,-0.05,-61.96,-63.44,21361202939,-0.04,0.95,-39670471.8,18124873621,-28,49.11
4/6/2011,43.65,49.24,49.1,47.63,42.41,-0.09,-48.2,-66.94,21260629139,-0.05,0.95,-12219716.7,18051077856,-28,49.07
4/7/2011,43.66,49.15,49.06,47.64,42.46,-0.11,-60.66,-85.21,21353932526,-0.05,0.93,531829.3,18044711202,-28,48.96
4/8/2011,43.23,49.03,49.02,47.65,39.65,-0.14,-75.19,-94.55,21259630427,-0.06,0.92,-40691355.9,17984174342,-28,48.88
4/11/2011,42.62,48.86,48.95,47.64,36.03,-0.19,-119.85,-96.79,21159898439,-0.07,0.91,-60716833.9,17911966555,-28,48.74
4/12/2011,42.85,48.73,48.89,47.64,38.31,-0.2,-108.15,-90.21,21266438691,-0.09,0.89,24365755.6,17938242541,-24,48.56
4/13/2011,43.38,48.67,48.86,47.65,43.37,-0.15,-75.3,-74.86,21352994150,-0.1,0.86,46134059.3,18024329499,-8,48.27
4/14/2011,42.85,48.55,48.81,47.64,39.87,-0.15,-91.4,-90.13,21277519363,-0.11,0.84,-40016731.8,17962635899,-8,47.93
4/15/2011,42.14,48.39,48.73,47.63,35.71,-0.18,-137.33,-97.34,21165110763,-0.12,0.85,-79675216,17871915546,-8,47.39
4/18/2011,42.77,48.29,48.68,47.62,41.52,-0.15,-134.97,-62.8,21318156823,-0.13,0.91,96021098.2,18015325241,-100,47.12
4/19/2011,43.63,48.29,48.66,47.64,48.4,-0.06,-44.09,-43.68,21422910196,-0.14,0.91,89962196.7,18116079769,-60,47.07
